year,markup,n_firms,sample
1955.0,1.1861840887677042,364,full
1956.0,1.1678610658016946,375,full
1957.0,1.1681024577094075,389,full
1958.0,1.1664282079077395,409,full
1959.0,1.1812786941895699,423,full
1960.0,1.1703366159587465,709,full
1961.0,1.2143728726900003,769,full
1962.0,1.2342204971618842,866,full
1963.0,1.2547050006521794,953,full
1964.0,1.27102121430887,1040,full
1965.0,1.271033924052134,1134,full
1966.0,1.2644386331657194,1226,full
1967.0,1.2634950083011953,1334,full
1968.0,1.2712527870083923,1530,full
1969.0,1.274966498254781,1619,full
1970.0,1.2579645182102146,1689,full
1971.0,1.25823025327389,1793,full
1972.0,1.2620571283567004,1889,full
1973.0,1.2603968737871956,2130,full
1974.0,1.237120258716309,2844,full
1975.0,1.2364465909533267,2902,full
1976.0,1.2344980196256177,2967,full
1977.0,1.2303573854976204,3030,full
1978.0,1.2420345912381852,3105,full
1979.0,1.2010739638467436,3251,full
1980.0,1.189897734373627,3487,full
1981.0,1.1916762216888799,3716,full
1982.0,1.2154871019520408,4248,full
1983.0,1.2398872406274613,4609,full
1984.0,1.2517856976904127,4843,full
1985.0,1.255760730199308,5279,full
1986.0,1.2922374959198788,5442,full
1987.0,1.292102014104838,5489,full
1988.0,1.3329397275360169,5322,full
1989.0,1.3305762018402698,5227,full
1990.0,1.3380844114834314,5225,full
1991.0,1.338469091849762,5329,full
1992.0,1.351132380699005,5664,full
1993.0,1.3360856924901299,6061,full
1994.0,1.314780784095508,6450,full
1995.0,1.3144468823289317,7182,full
1996.0,1.309595355475927,7326,full
1997.0,1.3216059039495205,7174,full
1998.0,1.3510459149694058,7368,full
1999.0,1.3366081656330537,7324,full
2000.0,1.3093727069204026,6940,full
2001.0,1.2827872412577817,6474,full
2002.0,1.2570168522656697,6253,full
2003.0,1.2440468763600314,6114,full
2004.0,1.2301786910218682,6048,full
2005.0,1.2405377715913974,5942,full
2006.0,1.217540732950673,5813,full
2007.0,1.2273742673688088,5539,full
2008.0,1.216093254445138,5402,full
2009.0,1.2527762379666243,5268,full
2010.0,1.2850906398525266,5144,full
2011.0,1.2768797050136584,5049,full
2012.0,1.2762684766251262,5156,full
2013.0,1.2750894887463113,5117,full
2014.0,1.2651338512929824,4947,full
2015.0,1.2734391795218831,4715,full
2016.0,1.3190402647599548,4541,full
2017.0,1.3300444884276468,4443,full
2018.0,1.2914905680277189,4348,full
2019.0,1.299606107710434,4358,full
2020.0,1.3304558358224114,4378,full
2021.0,1.3722865977536522,4512,full
2022.0,1.3251600188849206,4577,full
2023.0,1.3359607524200874,4501,full
2024.0,1.3919042513936208,4255,full
1955.0,1.2557271550463824,329,deu
1956.0,1.24096167442622,342,deu
1957.0,1.2356086168789184,357,deu
1958.0,1.2413915926714334,373,deu
1959.0,1.2512888785327165,389,deu
1960.0,1.2351581568614245,650,deu
1961.0,1.2411115261983,704,deu
1962.0,1.2446848869704605,804,deu
1963.0,1.2954707815231417,888,deu
1964.0,1.2956482764801103,969,deu
1965.0,1.2960482730545828,1053,deu
1966.0,1.2930177152374878,1141,deu
1967.0,1.2554751524494019,1239,deu
1968.0,1.2560275623885322,1421,deu
1969.0,1.2606990921984367,1502,deu
1970.0,1.272347582647378,1560,deu
1971.0,1.2944746137167644,1657,deu
1972.0,1.2855531783223817,1762,deu
1973.0,1.260249544736386,1988,deu
1974.0,1.2635069771069942,2657,deu
1975.0,1.2461005753210537,2712,deu
1976.0,1.2431796940963327,2776,deu
1977.0,1.2350466846188954,2831,deu
1978.0,1.2433451665256106,2901,deu
1979.0,1.212196011912791,3036,deu
1980.0,1.2141466950310031,3257,deu
1981.0,1.205768032669085,3473,deu
1982.0,1.2174185451048671,3978,deu
1983.0,1.2424922518687525,4317,deu
1984.0,1.257395144380961,4543,deu
1985.0,1.2736678138056876,4938,deu
1986.0,1.30714094724846,5106,deu
1987.0,1.316884082161351,5142,deu
1988.0,1.3617694462126806,4991,deu
1989.0,1.3548214315049962,4905,deu
1990.0,1.3470635159702113,4907,deu
1991.0,1.3538042725456112,4991,deu
1992.0,1.3728730181722435,5295,deu
1993.0,1.3709195548645323,5675,deu
1994.0,1.3555029458520031,6039,deu
1995.0,1.3810421004922675,6727,deu
1996.0,1.3811512772619803,6843,deu
1997.0,1.3985295061622023,6700,deu
1998.0,1.4226743209878112,6891,deu
1999.0,1.4597300690365347,6839,deu
2000.0,1.4670250092997674,6490,deu
2001.0,1.4438843039767268,6059,deu
2002.0,1.4351959816623259,5878,deu
2003.0,1.4577901097258577,5738,deu
2004.0,1.4554231369711916,5668,deu
2005.0,1.467316982255094,5566,deu
2006.0,1.4483235749717485,5441,deu
2007.0,1.457174257756165,5193,deu
2008.0,1.4412116086310631,5056,deu
2009.0,1.4782045224110067,4933,deu
2010.0,1.492617206789518,4839,deu
2011.0,1.467294669656017,4760,deu
2012.0,1.4730599246573972,4861,deu
2013.0,1.488767429278068,4836,deu
2014.0,1.4926765836899007,4680,deu
2015.0,1.5343248764814656,4438,deu
2016.0,1.601460952431457,3636,deu
