year,markup,n_firms,weight_type
1955.0,1.1861840887677042,364,revenue
1956.0,1.1678610658016946,375,revenue
1957.0,1.1681024577094075,389,revenue
1958.0,1.1664282079077395,409,revenue
1959.0,1.1812786941895699,423,revenue
1960.0,1.1703366159587465,709,revenue
1961.0,1.2143728726900003,769,revenue
1962.0,1.2342204971618842,866,revenue
1963.0,1.2547050006521794,953,revenue
1964.0,1.27102121430887,1040,revenue
1965.0,1.271033924052134,1134,revenue
1966.0,1.2644386331657194,1226,revenue
1967.0,1.2634950083011953,1334,revenue
1968.0,1.2712527870083923,1530,revenue
1969.0,1.274966498254781,1619,revenue
1970.0,1.2579645182102146,1689,revenue
1971.0,1.25823025327389,1793,revenue
1972.0,1.2620571283567004,1889,revenue
1973.0,1.2603968737871956,2130,revenue
1974.0,1.237120258716309,2844,revenue
1975.0,1.2364465909533267,2902,revenue
1976.0,1.2344980196256177,2967,revenue
1977.0,1.2303573854976204,3030,revenue
1978.0,1.2420345912381852,3105,revenue
1979.0,1.2010739638467436,3251,revenue
1980.0,1.189897734373627,3487,revenue
1981.0,1.1916762216888799,3716,revenue
1982.0,1.2154871019520408,4248,revenue
1983.0,1.2398872406274613,4609,revenue
1984.0,1.2517856976904127,4843,revenue
1985.0,1.255760730199308,5279,revenue
1986.0,1.2922374959198788,5442,revenue
1987.0,1.292102014104838,5489,revenue
1988.0,1.3329397275360169,5322,revenue
1989.0,1.3305762018402698,5227,revenue
1990.0,1.3380844114834314,5225,revenue
1991.0,1.338469091849762,5329,revenue
1992.0,1.351132380699005,5664,revenue
1993.0,1.3360856924901299,6061,revenue
1994.0,1.314780784095508,6450,revenue
1995.0,1.3144468823289317,7182,revenue
1996.0,1.309595355475927,7326,revenue
1997.0,1.3216059039495205,7174,revenue
1998.0,1.3510459149694058,7368,revenue
1999.0,1.3366081656330537,7324,revenue
2000.0,1.3093727069204026,6940,revenue
2001.0,1.2827872412577817,6474,revenue
2002.0,1.2570168522656697,6253,revenue
2003.0,1.2440468763600314,6114,revenue
2004.0,1.2301786910218682,6048,revenue
2005.0,1.2405377715913974,5942,revenue
2006.0,1.217540732950673,5813,revenue
2007.0,1.2273742673688088,5539,revenue
2008.0,1.216093254445138,5402,revenue
2009.0,1.2527762379666243,5268,revenue
2010.0,1.2850906398525266,5144,revenue
2011.0,1.2768797050136584,5049,revenue
2012.0,1.2762684766251262,5156,revenue
2013.0,1.2750894887463113,5117,revenue
2014.0,1.2651338512929824,4947,revenue
2015.0,1.2734391795218831,4715,revenue
2016.0,1.3190402647599548,4541,revenue
2017.0,1.3300444884276468,4443,revenue
2018.0,1.2914905680277189,4348,revenue
2019.0,1.299606107710434,4358,revenue
2020.0,1.3304558358224114,4378,revenue
2021.0,1.3722865977536522,4512,revenue
2022.0,1.3251600188849206,4577,revenue
2023.0,1.3359607524200874,4501,revenue
2024.0,1.3919042513936208,4255,revenue
1955.0,1.1578769702995215,364,cost
1956.0,1.1405054630036853,375,cost
1957.0,1.142257227860261,389,cost
1958.0,1.1380074140090484,409,cost
1959.0,1.1532463471654497,423,cost
1960.0,1.138433462453929,709,cost
1961.0,1.1633539281223213,769,cost
1962.0,1.1769427863867565,866,cost
1963.0,1.190655786021839,953,cost
1964.0,1.1977705002855084,1040,cost
1965.0,1.2002111196040866,1134,cost
1966.0,1.1952400012520055,1226,cost
1967.0,1.1891162076219421,1334,cost
1968.0,1.1961566465424716,1530,cost
1969.0,1.2004902729074372,1619,cost
1970.0,1.1918108422705909,1689,cost
1971.0,1.1945456399257428,1793,cost
1972.0,1.195826504309092,1889,cost
1973.0,1.1951075278173509,2130,cost
1974.0,1.1786563116396094,2844,cost
1975.0,1.1740352108902044,2902,cost
1976.0,1.1726931371378353,2967,cost
1977.0,1.1669593541298884,3030,cost
1978.0,1.1756952106983054,3105,cost
1979.0,1.150139865152913,3251,cost
1980.0,1.1376238508920777,3487,cost
1981.0,1.1379693684797696,3716,cost
1982.0,1.15559860869691,4248,cost
1983.0,1.1794655862393066,4609,cost
1984.0,1.190258705558523,4843,cost
1985.0,1.1912256990181076,5279,cost
1986.0,1.2139864109731824,5442,cost
1987.0,1.2074309033278203,5489,cost
1988.0,1.239965291842074,5322,cost
1989.0,1.235978653188594,5227,cost
1990.0,1.2335046715920452,5225,cost
1991.0,1.2231413464934018,5329,cost
1992.0,1.230543228740743,5664,cost
1993.0,1.2227430267995103,6061,cost
1994.0,1.212187123101416,6450,cost
1995.0,1.2076922718839425,7182,cost
1996.0,1.1907119646145359,7326,cost
1997.0,1.1913586017946358,7174,cost
1998.0,1.201743683270684,7368,cost
1999.0,1.2007889628379937,7324,cost
2000.0,1.1604809953388835,6940,cost
2001.0,1.1293452559219885,6474,cost
2002.0,1.11304490964578,6253,cost
2003.0,1.090407954597462,6114,cost
2004.0,1.06884707914837,6048,cost
2005.0,1.0727936890255294,5942,cost
2006.0,1.0617355962855115,5813,cost
2007.0,1.066016695100331,5539,cost
2008.0,1.04447640269981,5402,cost
2009.0,1.083892970637381,5268,cost
2010.0,1.1092585102716224,5144,cost
2011.0,1.1030486485982296,5049,cost
2012.0,1.0976052652242594,5156,cost
2013.0,1.094902512986832,5117,cost
2014.0,1.0861776999085986,4947,cost
2015.0,1.0748993003455232,4715,cost
2016.0,1.1161705139779983,4541,cost
2017.0,1.1051147726728126,4443,cost
2018.0,1.0934896111185233,4348,cost
2019.0,1.0993866566465338,4358,cost
2020.0,1.1142663259458567,4378,cost
2021.0,1.130617522667156,4512,cost
2022.0,1.1112014738291571,4577,cost
2023.0,1.1167511037570943,4501,cost
2024.0,1.139683811465602,4255,cost
