conm,ind2d,sector_name,markup_base,markup,markup_change,weight,contribution
INTEL CORP,33,Manufacturing,2.072133043217052,3.181477526900057,1.1093444836830049,0.010028931270506624,0.011125539582172512
COCA-COLA CO,31,Manufacturing,1.5618834960765753,2.581918730503564,1.0200352344269885,0.007069580039018957,0.007211220732401061
WALMART INC,45,Retail Trade,1.1705592516796974,1.2221353684278955,0.051576116748198064,0.08142336416723947,0.00419950093632059
PEPSICO INC,31,Manufacturing,1.8754180070697943,2.2016791845564527,0.3262611774866584,0.010605129992364414,0.0034600421987078904
FORD MOTOR CO,33,Manufacturing,0.8885483534798888,1.021639996518478,0.1330916430385891,0.02563510140035539,0.003411817764834136
ALTRIA GROUP INC,31,Manufacturing,1.4791201808834809,2.3278649374915,0.8487447566080191,0.003265520130294283,0.002771593088185208
TEXAS INSTRUMENTS INC,33,Manufacturing,1.2535277864535708,2.4405971207181576,1.1870693342645868,0.002257847863786242,0.002680221960535454
NIKE INC  -CL B,31,Manufacturing,1.2519060611681987,1.7021678186457154,0.45026175747751673,0.005800828281305717,0.0026118911367659947
GENERAL MOTORS CO,33,Manufacturing,0.9414915841473563,1.0269540694961639,0.08546248534880752,0.028097287028927075,0.0024012639810509196
MEDTRONIC PLC,33,Manufacturing,2.48275908712335,2.937863839830488,0.4551047527071379,0.005017252059318569,0.0022833752577255556
DUPONT DE NEMOURS INC,32,Manufacturing,1.1396483951571768,0.4522390544054553,-0.6874093407517214,0.008132643038460572,-0.005590454789637258
PROCTER & GAMBLE CO,32,Manufacturing,1.2578999777178386,0.7346335620899515,-0.5232664156278871,0.011027315456797146,-0.00577022383307624
JOHNSON & JOHNSON,32,Manufacturing,1.795805348964513,1.316456316141766,-0.479349032822747,0.012140365215227596,-0.005819472324034269
HP INC,33,Manufacturing,1.8388265749944317,1.0166455983994045,-0.8221809765950272,0.00814615297332242,-0.006697612007098712
VALERO ENERGY CORP,32,Manufacturing,0.9497238160871975,0.3561749423822868,-0.5935488737049106,0.011849226118954784,-0.007033094817180422
CHEVRON CORP,32,Manufacturing,0.9814296777041491,0.40153713560103027,-0.5798925421031189,0.01744639213221815,-0.010117032684079836
CVS HEALTH CORP,62,Health Care and Social Assistance,1.7188946535425005,1.042880467419918,-0.6760141861225826,0.02997955870355396,-0.02026660697729722
EXXON MOBIL CORP,32,Manufacturing,1.0398993649581445,0.39932032334205336,-0.6405790416160911,0.03335569142552962,-0.021366956845807833
INTL BUSINESS MACHINES CORP,51,Information,3.022450032528144,1.41969999925091,-1.6027500332772338,0.013496424926985526,-0.02163139550084974
BP PLC,32,Manufacturing,1.1446771599503283,0.3858697779626131,-0.7588073819877151,0.03090532698996205,-0.023451190262727375
