conm,markup,weight,sale_D,year
PFIZER INC,4.55290256813724,0.0028254334525333368,48706297.22921914,2008
MICROSOFT CORP,3.7961705497859093,0.0035314265158367477,60876574.307304785,2008
ORACLE CORP,3.135923878423562,0.0013590322632611065,23427707.80856423,2008
LVMH MOET HENNESSY LOUIS V,2.8753573009332065,0.0013987147545617131,24111775.31486146,2008
COCA-COLA CO,2.849441238079783,0.0018670620427323579,32185390.428211585,2008
ASTRAZENECA PLC,2.7778287843487726,0.0018691077217799297,32220654.911838792,2008
PHILIP MORRIS INTERNATIONAL,2.770852418799352,0.0015024051405094934,25899244.3324937,2008
MERCK & CO INC,2.743061579648581,0.0013940016853800261,24030528.967254408,2008
LILLY (ELI) & CO,2.699473787190303,0.0011910527894690706,20531989.92443325,2008
ANHEUSER-BUSCH INBEV,2.5428638017705443,0.0013739364963219864,23684634.76070529,2008
BCE INC,2.4753773114036033,0.001034412222397861,17831738.035264485,2008
INTEL CORP,2.4494588762975,0.002196825505200927,37870025.18891688,2008
GSK PLC,2.445165933611407,0.0021079304052927504,36337605.03778338,2008
CISCO SYSTEMS INC,2.4384159028885732,0.002311032844028219,39838790.93198992,2008
OCCIDENTAL PETROLEUM CORP,2.3846632282918083,0.0014154345570012996,24400000.0,2008
META PLATFORMS INC,6.4145621000327155,0.004338749362373994,71800463.11778967,2020
ORACLE CORP,4.6994714741331345,0.002043020245908648,33809235.69528306,2020
SALESFORCE INC,3.695660737912294,0.0010726121264371797,17750287.235261634,2020
LVMH MOET HENNESSY LOUIS V,3.6241634366073257,0.002716440731787823,44953438.487553924,2020
TAIWAN SEMICONDUCTOR MFG CO,3.4685924036010634,0.0023662729970421515,39158633.71231572,2020
BROADCOM INC,3.3827645164219695,0.001205653984393532,19951950.94466073,2020
MICROSOFT CORP,3.105607188786508,0.00721812644750674,119450278.98319888,2020
PHILIP MORRIS INTERNATIONAL,2.988077515698446,0.001448218160925486,23966061.637897484,2020
ROYAL BANK OF CANADA,2.9556475711154993,0.003086409597020817,51075925.32517972,2020
INTEL CORP,2.9401546472839075,0.003930034276740253,65036778.47487848,2020
ANHEUSER-BUSCH INBEV,2.787276738260879,0.0023661363212639473,39156371.912116535,2020
MEDTRONIC PLC,2.6950972504701163,0.0015200385569315142,25154592.54020208,2020
TORONTO DOMINION BANK,2.6390121947881897,0.002563730734730989,42426293.5442476,2020
ALTRIA GROUP INC,2.620879639201775,0.0010518684983567316,17407008.106064733,2020
AMGEN INC,2.6048470552159624,0.0012831776163438197,21234862.72676886,2020
