conm,gvkey,year,markup,weight,sale_D,rank
INTL BUSINESS MACHINES CORP,006066,1980.0,3.022450032528232,0.010859887129204302,59067576.21660206,1
XEROX HOLDINGS CORP,011636,1980.0,2.5416057399471286,0.0033957576106860587,18469728.929586176,2
MERCK & CO INC,007257,1980.0,2.353025487558713,0.0011326834375557301,6160733.024304276,3
BRISTOL-MYERS SQUIBB CO,002403,1980.0,2.3360236610984537,0.0013084637467122742,7116812.648793227,4
AVON PRODUCTS,001920,1980.0,2.300799661232375,0.0010643618299644073,5789127.710581561,5
LILLY (ELI) & CO,006730,1980.0,2.2470808349088403,0.001060027488055011,5765552.965463484,6
NCR VOYIX CORP,007648,1980.0,2.0236700365700755,0.00137643651891001,7486520.625927392,7
PEPSICO INC,008479,1980.0,1.8754180070698792,0.0024754946274280496,13464363.472634802,8
WARNER-LAMBERT CO,011288,1980.0,1.8627655421497713,0.0014414135325198233,7839934.492762493,9
PFIZER INC,008530,1980.0,1.8609391095196133,0.0012550190157816763,6826123.557823809,10
INTL BUSINESS MACHINES CORP,006066,1981.0,2.8423682589809696,0.011011454387082278,59910985.499260165,1
XEROX HOLDINGS CORP,011636,1981.0,2.4918092461237507,0.003292071680136176,17911463.078168746,2
BRISTOL-MYERS SQUIBB CO,002403,1981.0,2.340535800697506,0.0013245185060411745,7206423.985375186,3
LILLY (ELI) & CO,006730,1981.0,2.3332205787426576,0.001050464807699004,5715355.996512825,4
MERCK & CO INC,007257,1981.0,2.2253853378489343,0.0011096501276711497,6037370.756959001,5
CVS HEALTH CORP,007241,1981.0,2.224966885438132,0.0010457818158474883,5689876.832085785,6
PEPSICO INC,008479,1981.0,1.9267696228123963,0.0026619306754030432,14482999.65544923,7
WARNER-LAMBERT CO,011288,1981.0,1.9107726197625747,0.001280295047683768,6965813.537450536,8
WYETH,001478,1981.0,1.8799606347243425,0.0015648707995446153,8514129.785590928,9
PFIZER INC,008530,1981.0,1.8782984314628541,0.0012309571546439088,6697376.536254522,10
INTL BUSINESS MACHINES CORP,006066,1982.0,2.8374915794511097,0.012565960816131965,66687383.6872792,1
BRISTOL-MYERS SQUIBB CO,002403,1982.0,2.497713975162186,0.001316383551882373,6986029.662873438,2
SMITHKLINE BECKMAN CORP,009775,1982.0,2.4495236838745957,0.0010855584899230387,5761044.188482915,3
LILLY (ELI) & CO,006730,1982.0,2.4333436773685464,0.0010833805465754267,5749485.8726647645,4
XEROX HOLDINGS CORP,011636,1982.0,2.3975897254310365,0.003091976731729425,16409078.595587296,5
MERCK & CO INC,007257,1982.0,2.3911550974646265,0.0011200596576274012,5944141.417737861,6
JOHNSON & JOHNSON,006266,1982.0,2.1769689317630143,0.0021065901059268456,11179645.131904282,7
WARNER-LAMBERT CO,011288,1982.0,2.0983600217167884,0.0011869593781521821,6299177.327565019,8
AVON PRODUCTS,001920,1982.0,2.0736723041409046,0.0010973093645831307,5823405.92099068,9
PEPSICO INC,008479,1982.0,2.0617526445172185,0.002742174018127639,14552680.336978503,10
SMITHKLINE BECKMAN CORP,009775,1983.0,2.7912122856744,0.0010010589206410135,5294450.376739992,1
LILLY (ELI) & CO,006730,1983.0,2.600323891595603,0.0010710743314350276,5664751.37542507,2
INTL BUSINESS MACHINES CORP,006066,1983.0,2.569865114712575,0.014185900156261737,75027096.68540038,3
BRISTOL-MYERS SQUIBB CO,002403,1983.0,2.5588008207649597,0.001382930669908143,7314112.741347943,4
MERCK & CO INC,007257,1983.0,2.479689284998014,0.0011460763423775694,6061425.7538290145,5
WARNER-LAMBERT CO,011288,1983.0,2.396833440614086,0.0010974209789487437,5804094.839609484,6
JOHNSON & JOHNSON,006266,1983.0,2.2755379718040776,0.0021087736771266074,11152987.460691253,7
PFIZER INC,008530,1983.0,2.20997998357253,0.0013239698780075407,7002277.962740565,8
XEROX HOLDINGS CORP,011636,1983.0,2.1580477831891067,0.0029881117500044855,15803674.543374605,9
PEPSICO INC,008479,1983.0,2.130056137712949,0.0027877276732628247,14743873.238254389,10
U S WEST  -CONSOLIDATED,010980,1984.0,3.3403951507053846,0.002289870529239464,13126067.99269568,1
QWEST COMMUNICATION INTL INC,061489,1984.0,3.3403951507053846,0.002289870529239464,13126067.99269568,2
BRISTOL-MYERS SQUIBB CO,002403,1984.0,2.696540069134983,0.001317819312177197,7554045.380666331,3
MERCK & CO INC,007257,1984.0,2.4031754503290634,0.0011197298428227468,6418550.683397527,4
PEPSICO INC,008479,1984.0,2.3997397346891356,0.0024216997074508304,13881743.361467863,5
INTL BUSINESS MACHINES CORP,006066,1984.0,2.3532874083684985,0.01444997146542669,82830581.69699174,6
JOHNSON & JOHNSON,006266,1984.0,2.346340119127573,0.0019265247909489606,11043286.104043927,7
PFIZER INC,008530,1984.0,2.304247563226047,0.0012124733006908613,6950177.654577815,8
WYETH,001478,1984.0,2.241277777105889,0.0014109515668771838,8087901.025295765,9
XEROX HOLDINGS CORP,011636,1984.0,2.154453288653072,0.0027654885876255185,15852420.811866963,10
U S WEST COMMUNICATIONS INC,007593,1985.0,3.4546926664003594,0.0010318600351879646,6074498.560857537,1
U S WEST  -CONSOLIDATED,010980,1985.0,3.1928013866683207,0.002318650161800672,13649755.384144332,2
QWEST COMMUNICATION INTL INC,061489,1985.0,3.1927997519694946,0.0023186489746630343,13649748.395535773,3
BRISTOL-MYERS SQUIBB CO,002403,1985.0,2.757699076547905,0.0013189099161226745,7764344.110806172,4
MERCK & CO INC,007257,1985.0,2.743188462025418,0.001052842396160052,6198020.470013677,5
